181	0
348	3
94	7
92	8
282	14
364	30
686	30
382	34
74	44
927	49
990	49
296	54
798	60
288	64
299	66
981	69
313	76
213	92
382	95
587	102
133	113
253	125
950	141
545	152
770	158
883	162
526	168
985	170
387	172
1018	172
807	176
162	191
501	193
868	195
905	197
714	210
6	221
272	222
929	225
373	228
888	237
70	246
83	248
338	250
842	253
611	260
385	269
99	274
196	274
1006	283
877	284
917	304
154	305
492	306
654	307
979	320
901	326
246	342
398	346
368	347
457	349
118	363
490	376
963	383
472	395
449	408
543	416
887	416
957	425
168	439
484	441
965	442
726	446
1014	446
346	457
29	469
281	469
1019	474
696	478
550	480
613	486
995	502
106	503
177	511
295	520
334	521
159	523
816	538
13	544
183	545
775	545
416	546
423	560
734	580
586	581
230	584
468	584
888	590
698	592
757	601
438	603
869	605
975	610
372	617
7	619
975	622
636	623
742	637
449	641
524	647
731	660
871	670
435	672
268	675
602	677
700	679
482	687
96	689
707	705
579	708
986	711
830	722
765	723
771	724
410	727
921	735
572	747
894	750
81	753
280	760
309	760
700	760
330	773
27	782
758	782
682	787
356	789
994	793
125	794
768	795
733	799
763	805
145	806
211	809
159	811
97	817
838	819
175	822
545	827
141	830
716	835
356	838
383	847
921	851
592	852
284	853
271	861
485	861
303	862
546	862
31	867
174	872
458	884
645	891
906	924
611	929
203	934
348	937
230	944
65	945
325	945
697	947
206	957
215	957
398	972
643	975
353	982
563	985
298	1003
591	1003
866	1006
265	1021
