180	0
471	3
78	5
46	8
388	16
34	23
779	24
224	28
312	32
355	33
847	34
474	49
119	54
715	55
32	62
760	65
182	69
884	70
23	75
479	83
848	84
323	97
268	104
651	124
875	145
458	154
725	159
682	164
345	172
912	184
1002	185
630	186
453	189
326	191
289	193
94	197
329	208
429	214
85	227
425	227
696	233
534	234
81	241
296	243
653	245
962	247
830	256
595	257
263	260
272	261
623	289
208	292
89	294
835	300
290	303
673	303
683	315
283	321
669	325
734	327
1019	339
144	344
835	351
269	352
909	360
1002	360
395	361
136	374
1009	374
687	377
825	401
1000	401
79	402
342	402
820	405
898	407
490	409
880	411
685	428
842	431
332	437
312	446
326	466
242	467
842	469
513	482
879	483
627	484
294	486
436	496
484	499
533	501
630	503
888	515
212	520
19	529
248	530
899	535
134	542
68	544
743	555
67	556
733	565
324	572
403	578
29	581
248	581
125	582
269	583
346	587
197	591
941	624
237	625
826	627
212	639
435	646
341	651
107	652
267	654
36	655
614	655
991	677
976	680
895	685
278	686
121	695
763	700
131	720
144	735
290	747
953	756
309	767
50	777
923	779
218	783
823	788
858	788
996	813
938	815
899	816
169	821
490	822
766	822
795	838
482	840
914	840
258	844
781	847
692	850
940	856
698	864
855	868
769	869
888	869
82	873
781	878
789	885
528	888
117	907
505	911
341	915
940	918
76	921
188	937
805	939
771	942
988	945
445	951
991	981
645	986
922	986
170	989
846	989
877	997
345	1000
188	1001
760	1007
278	1010
695	1012
135	1017
160	1022
